feedback_text,service_category,sentiment
"This week, I am satisfied overall because data pack activated instantly. overall service quality looks better now.",Service Activation,Positive
"Today, I am extremely happy because router overheating issue continues. this problem needs immediate attention.",Broadband Service,Positive
"This week, I expected better performance because network coverage is weak indoors. customer support should improve further.",Mobile Network,Neutral
"After recent update, I am extremely happy because router restarts automatically. customer support should improve further.",Broadband Service,Positive
"This week, I am satisfied overall because fingerprint login works perfectly. this problem needs immediate attention.",Mobile App Issues,Positive
"Honestly, I feel totally upset because payment gateway failed during recharge. hoping this gets fixed permanently.",Billing & Payments,Negative
"Honestly, I am highly impressed because application freezes frequently. the issue affects my daily work badly.",Mobile App Issues,Positive
"Seriously, I am unhappy with the service because activation request still under processing. please resolve this quickly.",Service Activation,Positive
"Unfortunately, I feel disappointed because unable to login into the app. thank you for solving the issue.",Mobile App Issues,Negative
"After recent update, I am very frustrated because issue remained unresolved after many complaints. thank you for solving the issue.",Customer Support,Negative
"Every evening, I feel totally upset because technical support explained issue clearly. the service experience feels smooth now.",Customer Support,Negative
"Seriously, I am somewhat satisfied because customer care is not responding properly. expecting faster resolution from technical team.",Customer Support,Positive
"Today, I feel disappointed because online meetings keep buffering. thank you for solving the issue.",Broadband Service,Negative
"After recent update, I am highly impressed because payment transaction failed inside app. the issue affects my daily work badly.",Mobile App Issues,Positive
"During office hours, I feel disappointed because roaming activation took too much time. customer support should improve further.",Service Activation,Negative
"After recent update, I expected better performance because plan upgrade reflected successfully. overall service quality looks better now.",Service Activation,Neutral
"Honestly, I feel disappointed because support waiting time is too long. customer support should improve further.",Customer Support,Negative
"Every evening, I am very frustrated because annual discount applied correctly. overall service quality looks better now.",Billing & Payments,Negative
"Seriously, I am extremely happy because application freezes frequently. this problem needs immediate attention.",Mobile App Issues,Positive
"After recent update, I am extremely happy because wifi coverage improved after technician visit. expecting faster resolution from technical team.",Broadband Service,Positive
"Every evening, I expected better performance because identity verification process is slow. overall service quality looks better now.",Service Activation,Neutral
"Since yesterday, I appreciate the quick resolution because payment transaction failed inside app. overall service quality looks better now.",Mobile App Issues,Positive
"Recently, I am extremely happy because streaming quality became much better. the service experience feels smooth now.",Broadband Service,Positive
"This week, I am unhappy with the service because internet stopped working suddenly. please resolve this quickly.",Broadband Service,Positive
"Unfortunately, I appreciate the quick resolution because payment transaction failed inside app. the issue affects my daily work badly.",Mobile App Issues,Positive
"Today, I am extremely happy because wifi coverage improved after technician visit. this issue still continues every day.",Broadband Service,Positive
"Since yesterday, I am highly impressed because app performance improved after update. hoping this gets fixed permanently.",Mobile App Issues,Positive
"During office hours, I am extremely happy because plan upgrade reflected successfully. please resolve this quickly.",Service Activation,Positive
"Recently, I am highly impressed because eSIM activation failed repeatedly. this issue still continues every day.",Service Activation,Positive
"Unfortunately, I am very frustrated because support team solved the problem successfully. expecting faster resolution from technical team.",Customer Support,Negative
"Unfortunately, I am somewhat satisfied because issue remained unresolved after many complaints. the service experience feels smooth now.",Customer Support,Positive
"Every evening, I feel totally upset because data pack activated instantly. please resolve this quickly.",Service Activation,Negative
"After recent update, I am extremely happy because application freezes frequently. expecting faster resolution from technical team.",Mobile App Issues,Positive
"Honestly, I am unhappy with the service because usage statistics are inaccurate. the issue affects my daily work badly.",Mobile App Issues,Positive
"Seriously, I appreciate the quick resolution because installation process completed quickly. customer support should improve further.",Broadband Service,Positive
"Recently, I am extremely happy because broadband installation still pending. this problem needs immediate attention.",Service Activation,Positive
"Recently, I appreciate the quick resolution because internet stopped working suddenly. this problem needs immediate attention.",Broadband Service,Positive
"Today, I appreciate the quick resolution because priority support handled issue efficiently. customer support should improve further.",Customer Support,Positive
"After recent update, I am somewhat satisfied because broadband installation still pending. thank you for solving the issue.",Service Activation,Positive
"After recent update, I feel disappointed because issue remained unresolved after many complaints. the service experience feels smooth now.",Customer Support,Negative
"During office hours, I am satisfied overall because router overheating issue continues. expecting faster resolution from technical team.",Broadband Service,Positive
"This week, I am very frustrated because SIM activation delayed for several hours. thank you for solving the issue.",Service Activation,Negative
"Honestly, I am highly impressed because bill payment failed multiple times. the service experience feels smooth now.",Billing & Payments,Positive
"Seriously, I feel disappointed because issue remained unresolved after many complaints. expecting faster resolution from technical team.",Customer Support,Negative
"Today, I expected better performance because payment transaction failed inside app. the service experience feels smooth now.",Mobile App Issues,Neutral
"After recent update, I am extremely happy because chat support disconnected suddenly. this problem needs immediate attention.",Customer Support,Positive
"After recent update, I feel totally upset because notifications are delayed. the service experience feels smooth now.",Mobile App Issues,Negative
"Recently, I am extremely happy because app performance improved after update. this problem needs immediate attention.",Mobile App Issues,Positive
"Unfortunately, I appreciate the quick resolution because technical support explained issue clearly. customer support should improve further.",Customer Support,Positive
"Honestly, I am satisfied overall because annual discount applied correctly. customer support should improve further.",Billing & Payments,Positive
"After recent update, I am extremely happy because notifications are delayed. the service experience feels smooth now.",Mobile App Issues,Positive
"This week, I am highly impressed because internet speed improved significantly. hoping this gets fixed permanently.",Mobile Network,Positive
"During office hours, I am satisfied overall because fingerprint login works perfectly. overall service quality looks better now.",Mobile App Issues,Positive
"Every evening, I am very frustrated because 5G signal disappears suddenly. expecting faster resolution from technical team.",Mobile Network,Negative
"This week, I feel disappointed because eSIM activation failed repeatedly. overall service quality looks better now.",Service Activation,Negative
"Since yesterday, I am satisfied overall because voice calls are dropping continuously. expecting faster resolution from technical team.",Mobile Network,Positive
The Billing is functioning.,Billing & Payments,Neutral
"Honestly, I feel disappointed because mobile application crashes during payment. expecting faster resolution from technical team.",Mobile App Issues,Negative
"Since yesterday, I feel totally upset because eSIM activation failed repeatedly. please resolve this quickly.",Service Activation,Negative
"Seriously, I am very frustrated because installation process completed quickly. customer support should improve further.",Broadband Service,Negative
"After recent update, I am unhappy with the service because priority support handled issue efficiently. this issue still continues every day.",Customer Support,Positive
"Seriously, I am satisfied overall because mobile application crashes during payment. overall service quality looks better now.",Mobile App Issues,Positive
"Recently, I am very frustrated because payment transaction failed inside app. the issue affects my daily work badly.",Mobile App Issues,Negative
The Billing performance is terrible.,Billing & Payments,Negative
"Recently, I appreciate the quick resolution because activation request still under processing. please resolve this quickly.",Service Activation,Positive
"After recent update, I am satisfied overall because issue remained unresolved after many complaints. the service experience feels smooth now.",Customer Support,Positive
"Seriously, I expected better performance because router overheating issue continues. customer support should improve further.",Broadband Service,Neutral
"During office hours, I am somewhat satisfied because bill payment failed multiple times. hoping this gets fixed permanently.",Billing & Payments,Positive
"Seriously, I am unhappy with the service because data pack activated instantly. thank you for solving the issue.",Service Activation,Positive
"This week, I expected better performance because plan upgrade reflected successfully. this issue still continues every day.",Service Activation,Neutral
"After recent update, I am extremely happy because billing system generated duplicate charges. please resolve this quickly.",Billing & Payments,Positive
"Since yesterday, I am unhappy with the service because network quality improved after update. the issue affects my daily work badly.",Mobile Network,Positive
"Seriously, I appreciate the quick resolution because auto payment feature works smoothly. hoping this gets fixed permanently.",Billing & Payments,Positive
"Unfortunately, I am somewhat satisfied because online meetings keep buffering. this problem needs immediate attention.",Broadband Service,Positive
"Honestly, I am highly impressed because router restarts automatically. overall service quality looks better now.",Broadband Service,Positive
"Seriously, I feel disappointed because router restarts automatically. the service experience feels smooth now.",Broadband Service,Negative
"Recently, I am extremely happy because bill payment failed multiple times. hoping this gets fixed permanently.",Billing & Payments,Positive
"Today, I am satisfied overall because SIM activation delayed for several hours. hoping this gets fixed permanently.",Service Activation,Positive
"Since yesterday, I am somewhat satisfied because wifi signal does not reach upstairs. hoping this gets fixed permanently.",Broadband Service,Positive
"Recently, I expected better performance because notifications are delayed. the issue affects my daily work badly.",Mobile App Issues,Neutral
"Recently, I am unhappy with the service because internet speed improved significantly. this issue still continues every day.",Mobile Network,Positive
"Since yesterday, I appreciate the quick resolution because payment transaction failed inside app. the service experience feels smooth now.",Mobile App Issues,Positive
"This week, I appreciate the quick resolution because invoice details are confusing. the issue affects my daily work badly.",Billing & Payments,Positive
"Every evening, I am very frustrated because plan upgrade reflected successfully. overall service quality looks better now.",Service Activation,Negative
"Recently, I am very frustrated because monthly invoice amount looks incorrect. this issue still continues every day.",Billing & Payments,Negative
"Seriously, I am very frustrated because streaming quality became much better. this problem needs immediate attention.",Broadband Service,Negative
"Since yesterday, I appreciate the quick resolution because broadband installation still pending. thank you for solving the issue.",Service Activation,Positive
"This week, I feel disappointed because internet speed improved significantly. this issue still continues every day.",Mobile Network,Negative
"Seriously, I expected better performance because streaming quality became much better. this problem needs immediate attention.",Broadband Service,Neutral
"This week, I am highly impressed because usage statistics are inaccurate. the service experience feels smooth now.",Mobile App Issues,Positive
"Unfortunately, I appreciate the quick resolution because support team solved the problem successfully. overall service quality looks better now.",Customer Support,Positive
"This week, I feel totally upset because wifi coverage improved after technician visit. thank you for solving the issue.",Broadband Service,Negative
"Seriously, I feel totally upset because mobile internet becomes extremely slow. this issue still continues every day.",Mobile Network,Negative
"This week, I am very frustrated because roaming service activated instantly. overall service quality looks better now.",Mobile Network,Negative
"Since yesterday, I feel disappointed because data pack activated instantly. overall service quality looks better now.",Service Activation,Negative
"Honestly, I am somewhat satisfied because streaming quality became much better. please resolve this quickly.",Broadband Service,Positive
"Honestly, I am somewhat satisfied because mobile internet becomes extremely slow. hoping this gets fixed permanently.",Mobile Network,Positive
"Since yesterday, I feel disappointed because issue remained unresolved after many complaints. please resolve this quickly.",Customer Support,Negative
"During office hours, I am somewhat satisfied because broadband speed improved recently. overall service quality looks better now.",Broadband Service,Positive
"Honestly, I feel totally upset because new connection activated earlier than expected. customer support should improve further.",Service Activation,Negative
"Honestly, I expected better performance because fingerprint login works perfectly. thank you for solving the issue.",Mobile App Issues,Neutral
"Seriously, I feel disappointed because broadband speed improved recently. this problem needs immediate attention.",Broadband Service,Negative
"Since yesterday, I expected better performance because 5G signal disappears suddenly. customer support should improve further.",Mobile Network,Neutral
"After recent update, I am somewhat satisfied because fiber internet disconnects every evening. thank you for solving the issue.",Broadband Service,Positive
"During office hours, I am very frustrated because fiber internet disconnects every evening. this problem needs immediate attention.",Broadband Service,Negative
"Seriously, I am satisfied overall because network quality improved after update. the service experience feels smooth now.",Mobile Network,Positive
"Honestly, I feel disappointed because customer care is not responding properly. please resolve this quickly.",Customer Support,Negative
"Recently, I am extremely happy because monthly invoice amount looks incorrect. customer support should improve further.",Billing & Payments,Positive
"During office hours, I am very frustrated because chat support disconnected suddenly. this problem needs immediate attention.",Customer Support,Negative
"Unfortunately, I am very frustrated because issue remained unresolved after many complaints. the issue affects my daily work badly.",Customer Support,Negative
"After recent update, I am somewhat satisfied because router overheating issue continues. overall service quality looks better now.",Broadband Service,Positive
"Every evening, I expected better performance because annual discount applied correctly. this issue still continues every day.",Billing & Payments,Neutral
"During office hours, I appreciate the quick resolution because support team solved the problem successfully. this problem needs immediate attention.",Customer Support,Positive
"During office hours, I am extremely happy because broadband speed improved recently. please resolve this quickly.",Broadband Service,Positive
"Unfortunately, I expected better performance because payment reflected successfully after few minutes. the issue affects my daily work badly.",Billing & Payments,Neutral
"This week, I am extremely happy because wifi signal does not reach upstairs. overall service quality looks better now.",Broadband Service,Positive
"Seriously, I expected better performance because SIM activation delayed for several hours. expecting faster resolution from technical team.",Service Activation,Neutral
"Seriously, I am highly impressed because mobile data not working properly. overall service quality looks better now.",Mobile Network,Positive
The Mobile Network works perfectly in my area.,Mobile Network,Positive
"This week, I am extremely happy because annual discount applied correctly. overall service quality looks better now.",Billing & Payments,Positive
"After recent update, I am extremely happy because technical support explained issue clearly. overall service quality looks better now.",Customer Support,Positive
"Every evening, I appreciate the quick resolution because streaming quality became much better. customer support should improve further.",Broadband Service,Positive
"This week, I am somewhat satisfied because wifi signal does not reach upstairs. thank you for solving the issue.",Broadband Service,Positive
"Recently, I am extremely happy because installation process completed quickly. the service experience feels smooth now.",Broadband Service,Positive
"Unfortunately, I am satisfied overall because unable to login into the app. the service experience feels smooth now.",Mobile App Issues,Positive
"Since yesterday, I am very frustrated because auto payment feature works smoothly. please resolve this quickly.",Billing & Payments,Negative
"Seriously, I am somewhat satisfied because online meetings keep buffering. this problem needs immediate attention.",Broadband Service,Positive
"Today, I appreciate the quick resolution because internet speed improved significantly. hoping this gets fixed permanently.",Mobile Network,Positive
"After recent update, I appreciate the quick resolution because technical support explained issue clearly. this problem needs immediate attention.",Customer Support,Positive
"Since yesterday, I feel disappointed because mobile data not working properly. thank you for solving the issue.",Mobile Network,Negative
"Seriously, I feel disappointed because router restarts automatically. hoping this gets fixed permanently.",Broadband Service,Negative
"Seriously, I am unhappy with the service because eSIM activation failed repeatedly. overall service quality looks better now.",Service Activation,Positive
"This week, I am satisfied overall because streaming quality became much better. hoping this gets fixed permanently.",Broadband Service,Positive
"After recent update, I appreciate the quick resolution because annual discount applied correctly. hoping this gets fixed permanently.",Billing & Payments,Positive
"Honestly, I am highly impressed because signal strength fluctuates frequently. this issue still continues every day.",Mobile Network,Positive
"After recent update, I am satisfied overall because new connection activated earlier than expected. the service experience feels smooth now.",Service Activation,Positive
"Honestly, I expected better performance because router restarts automatically. this problem needs immediate attention.",Broadband Service,Neutral
"Unfortunately, I expected better performance because mobile application crashes during payment. expecting faster resolution from technical team.",Mobile App Issues,Neutral
"Honestly, I am somewhat satisfied because notifications are delayed. hoping this gets fixed permanently.",Mobile App Issues,Positive
"This week, I am extremely happy because voice calls are dropping continuously. this issue still continues every day.",Mobile Network,Positive
"During office hours, I appreciate the quick resolution because SIM activation delayed for several hours. this issue still continues every day.",Service Activation,Positive
"Every evening, I am very frustrated because 5G signal disappears suddenly. this problem needs immediate attention.",Mobile Network,Negative
Facing frequent issues with the Mobile Network.,Mobile Network,Negative
"Since yesterday, I am satisfied overall because mobile data not working properly. please resolve this quickly.",Mobile Network,Positive
"Since yesterday, I expected better performance because refund still not processed. this issue still continues every day.",Billing & Payments,Neutral
"Recently, I am somewhat satisfied because payment gateway failed during recharge. overall service quality looks better now.",Billing & Payments,Positive
"After recent update, I am extremely happy because internet stopped working suddenly. expecting faster resolution from technical team.",Broadband Service,Positive
"This week, I am extremely happy because voice calls are dropping continuously. please resolve this quickly.",Mobile Network,Positive
"During office hours, I am extremely happy because application freezes frequently. customer support should improve further.",Mobile App Issues,Positive
"After recent update, I am extremely happy because router restarts automatically. the issue affects my daily work badly.",Broadband Service,Positive
"Seriously, I am unhappy with the service because unable to login into the app. please resolve this quickly.",Mobile App Issues,Positive
"During office hours, I am highly impressed because wifi coverage improved after technician visit. please resolve this quickly.",Broadband Service,Positive
"Recently, I am extremely happy because notifications are delayed. overall service quality looks better now.",Mobile App Issues,Positive
"Today, I am extremely happy because installation process completed quickly. thank you for solving the issue.",Broadband Service,Positive
"Since yesterday, I am somewhat satisfied because monthly invoice amount looks incorrect. overall service quality looks better now.",Billing & Payments,Positive
"Recently, I am satisfied overall because router restarts automatically. customer support should improve further.",Broadband Service,Positive
Facing frequent issues with the Billing.,Billing & Payments,Negative
"Seriously, I am unhappy with the service because broadband speed improved recently. thank you for solving the issue.",Broadband Service,Positive
"Seriously, I feel disappointed because roaming activation took too much time. expecting faster resolution from technical team.",Service Activation,Negative
"Today, I am extremely happy because unable to login into the app. hoping this gets fixed permanently.",Mobile App Issues,Positive
"After recent update, I am satisfied overall because online meetings keep buffering. the service experience feels smooth now.",Broadband Service,Positive
"During office hours, I appreciate the quick resolution because roaming activation took too much time. this issue still continues every day.",Service Activation,Positive
"Today, I am very frustrated because chat support disconnected suddenly. please resolve this quickly.",Customer Support,Negative
"After recent update, I am highly impressed because router restarts automatically. this problem needs immediate attention.",Broadband Service,Positive
"Honestly, I feel totally upset because application freezes frequently. expecting faster resolution from technical team.",Mobile App Issues,Negative
"Recently, I am very frustrated because signal strength fluctuates frequently. this problem needs immediate attention.",Mobile Network,Negative
"Unfortunately, I am somewhat satisfied because billing system generated duplicate charges. expecting faster resolution from technical team.",Billing & Payments,Positive
"Honestly, I appreciate the quick resolution because 5G signal disappears suddenly. hoping this gets fixed permanently.",Mobile Network,Positive
"Since yesterday, I am highly impressed because broadband speed improved recently. overall service quality looks better now.",Broadband Service,Positive
"Honestly, I am extremely happy because priority support handled issue efficiently. the issue affects my daily work badly.",Customer Support,Positive
The Fiber Broadband quality is unacceptable.,Broadband Service,Negative
"After recent update, I am somewhat satisfied because application freezes frequently. the issue affects my daily work badly.",Mobile App Issues,Positive
"During office hours, I expected better performance because dark mode feature looks excellent. overall service quality looks better now.",Mobile App Issues,Neutral
"After recent update, I appreciate the quick resolution because support executive resolved issue quickly. the service experience feels smooth now.",Customer Support,Positive
"After recent update, I feel totally upset because network coverage is weak indoors. this problem needs immediate attention.",Mobile Network,Negative
"During office hours, I feel disappointed because roaming activation took too much time. hoping this gets fixed permanently.",Service Activation,Negative
"Seriously, I am somewhat satisfied because payment gateway failed during recharge. this problem needs immediate attention.",Billing & Payments,Positive
"Recently, I feel totally upset because internet speed improved significantly. overall service quality looks better now.",Mobile Network,Negative
"After recent update, I am somewhat satisfied because billing system generated duplicate charges. customer support should improve further.",Billing & Payments,Positive
"Today, I expected better performance because payment gateway failed during recharge. please resolve this quickly.",Billing & Payments,Neutral
"Recently, I am extremely happy because mobile application crashes during payment. this issue still continues every day.",Mobile App Issues,Positive
"Since yesterday, I am very frustrated because issue remained unresolved after many complaints. this problem needs immediate attention.",Customer Support,Negative
"This week, I am highly impressed because mobile data not working properly. hoping this gets fixed permanently.",Mobile Network,Positive
"During office hours, I am extremely happy because chat support disconnected suddenly. the issue affects my daily work badly.",Customer Support,Positive
"This week, I am extremely happy because auto payment feature works smoothly. the service experience feels smooth now.",Billing & Payments,Positive
"After recent update, I am highly impressed because notifications are delayed. this issue still continues every day.",Mobile App Issues,Positive
"After recent update, I feel disappointed because eSIM activation failed repeatedly. this issue still continues every day.",Service Activation,Negative
"During office hours, I am very frustrated because router restarts automatically. the service experience feels smooth now.",Broadband Service,Negative
"Every evening, I expected better performance because online meetings keep buffering. thank you for solving the issue.",Broadband Service,Neutral
"Since yesterday, I feel totally upset because installation process completed quickly. thank you for solving the issue.",Broadband Service,Negative
"Since yesterday, I am extremely happy because installation process completed quickly. overall service quality looks better now.",Broadband Service,Positive
"Every evening, I am unhappy with the service because network coverage is weak indoors. overall service quality looks better now.",Mobile Network,Positive
"Since yesterday, I am extremely happy because application loads much faster now. this issue still continues every day.",Mobile App Issues,Positive
"Since yesterday, I am satisfied overall because streaming quality became much better. overall service quality looks better now.",Broadband Service,Positive
"Every evening, I am somewhat satisfied because priority support handled issue efficiently. expecting faster resolution from technical team.",Customer Support,Positive
"Unfortunately, I appreciate the quick resolution because billing system generated duplicate charges. overall service quality looks better now.",Billing & Payments,Positive
"Honestly, I am very frustrated because data pack activated instantly. please resolve this quickly.",Service Activation,Negative
"This week, I am highly impressed because wifi coverage improved after technician visit. the service experience feels smooth now.",Broadband Service,Positive
Using the Billing without major complaints.,Billing & Payments,Neutral
"Unfortunately, I feel totally upset because app performance improved after update. the service experience feels smooth now.",Mobile App Issues,Negative
"Seriously, I am highly impressed because payment transaction failed inside app. the issue affects my daily work badly.",Mobile App Issues,Positive
"Today, I am extremely happy because billing system generated duplicate charges. the service experience feels smooth now.",Billing & Payments,Positive
"Today, I am unhappy with the service because unable to login into the app. hoping this gets fixed permanently.",Mobile App Issues,Positive
"Unfortunately, I feel disappointed because usage statistics are inaccurate. the service experience feels smooth now.",Mobile App Issues,Negative
"During office hours, I am extremely happy because usage statistics are inaccurate. please resolve this quickly.",Mobile App Issues,Positive
"During office hours, I feel disappointed because installation process completed quickly. thank you for solving the issue.",Broadband Service,Negative
"Seriously, I am highly impressed because wifi coverage improved after technician visit. this issue still continues every day.",Broadband Service,Positive
"Every evening, I feel disappointed because monthly invoice amount looks incorrect. customer support should improve further.",Billing & Payments,Negative
The 5G Service performance is normal.,Service Activation,Neutral
"Today, I feel totally upset because roaming service activated instantly. customer support should improve further.",Mobile Network,Negative
"This week, I expected better performance because support executive resolved issue quickly. this problem needs immediate attention.",Customer Support,Neutral
"During office hours, I feel disappointed because identity verification process is slow. this issue still continues every day.",Service Activation,Negative
"Unfortunately, I am satisfied overall because chat support disconnected suddenly. thank you for solving the issue.",Customer Support,Positive
"During office hours, I am extremely happy because wifi coverage improved after technician visit. customer support should improve further.",Broadband Service,Positive
"Recently, I am unhappy with the service because bill payment failed multiple times. the service experience feels smooth now.",Billing & Payments,Positive
"Unfortunately, I am very frustrated because wifi coverage improved after technician visit. thank you for solving the issue.",Broadband Service,Negative
"After recent update, I feel disappointed because broadband speed improved recently. overall service quality looks better now.",Broadband Service,Negative
"Every evening, I am unhappy with the service because support agent behaved professionally. the service experience feels smooth now.",Customer Support,Positive
Bad experience with the 5G Service.,Service Activation,Negative
"Today, I am extremely happy because payment transaction failed inside app. customer support should improve further.",Mobile App Issues,Positive
"After recent update, I feel disappointed because internet stopped working suddenly. the issue affects my daily work badly.",Broadband Service,Negative
"Honestly, I appreciate the quick resolution because payment gateway failed during recharge. overall service quality looks better now.",Billing & Payments,Positive
"Every evening, I am unhappy with the service because support waiting time is too long. the issue affects my daily work badly.",Customer Support,Positive
"Honestly, I appreciate the quick resolution because identity verification process is slow. thank you for solving the issue.",Service Activation,Positive
"Since yesterday, I appreciate the quick resolution because online meetings keep buffering. thank you for solving the issue.",Broadband Service,Positive
"Unfortunately, I am satisfied overall because voice calls are dropping continuously. this issue still continues every day.",Mobile Network,Positive
"Seriously, I am satisfied overall because identity verification process is slow. please resolve this quickly.",Service Activation,Positive
"Today, I am satisfied overall because broadband installation still pending. expecting faster resolution from technical team.",Service Activation,Positive
"Today, I feel totally upset because refund still not processed. overall service quality looks better now.",Billing & Payments,Negative
"Today, I am extremely happy because usage statistics are inaccurate. thank you for solving the issue.",Mobile App Issues,Positive
"After recent update, I am unhappy with the service because identity verification process is slow. thank you for solving the issue.",Service Activation,Positive
The 5G Service seems stable for now.,Service Activation,Neutral
"Recently, I expected better performance because application freezes frequently. please resolve this quickly.",Mobile App Issues,Neutral
"Seriously, I appreciate the quick resolution because unable to login into the app. hoping this gets fixed permanently.",Mobile App Issues,Positive
"During office hours, I am unhappy with the service because identity verification process is slow. please resolve this quickly.",Service Activation,Positive
"Honestly, I am extremely happy because monthly invoice amount looks incorrect. this issue still continues every day.",Billing & Payments,Positive
"This week, I expected better performance because wifi coverage improved after technician visit. thank you for solving the issue.",Broadband Service,Neutral
"During office hours, I am extremely happy because payment transaction failed inside app. expecting faster resolution from technical team.",Mobile App Issues,Positive
"Honestly, I am highly impressed because app performance improved after update. overall service quality looks better now.",Mobile App Issues,Positive
"Today, I am satisfied overall because extra roaming charges added unexpectedly. please resolve this quickly.",Billing & Payments,Positive
"Today, I am unhappy with the service because 5G signal disappears suddenly. this problem needs immediate attention.",Mobile Network,Positive
"After recent update, I appreciate the quick resolution because payment reflected successfully after few minutes. thank you for solving the issue.",Billing & Payments,Positive
"Every evening, I am unhappy with the service because wifi signal does not reach upstairs. hoping this gets fixed permanently.",Broadband Service,Positive
"This week, I am highly impressed because technical support explained issue clearly. the issue affects my daily work badly.",Customer Support,Positive
"During office hours, I am satisfied overall because SIM replacement completed successfully. hoping this gets fixed permanently.",Service Activation,Positive
"Today, I am somewhat satisfied because payment transaction failed inside app. thank you for solving the issue.",Mobile App Issues,Positive
"During office hours, I am satisfied overall because mobile internet becomes extremely slow. customer support should improve further.",Mobile Network,Positive
"Seriously, I feel disappointed because wifi coverage improved after technician visit. overall service quality looks better now.",Broadband Service,Negative
"Honestly, I am satisfied overall because data pack activated instantly. please resolve this quickly.",Service Activation,Positive
"Seriously, I feel disappointed because priority support handled issue efficiently. the service experience feels smooth now.",Customer Support,Negative
"Since yesterday, I am very frustrated because 5G signal disappears suddenly. this issue still continues every day.",Mobile Network,Negative
"During office hours, I feel disappointed because email support response was delayed. this issue still continues every day.",Customer Support,Negative
"Seriously, I am very frustrated because SIM activation delayed for several hours. hoping this gets fixed permanently.",Service Activation,Negative
"Seriously, I am satisfied overall because billing system generated duplicate charges. this issue still continues every day.",Billing & Payments,Positive
"This week, I am highly impressed because bill payment failed multiple times. this issue still continues every day.",Billing & Payments,Positive
"Unfortunately, I am satisfied overall because data connection stops randomly. thank you for solving the issue.",Mobile Network,Positive
"This week, I appreciate the quick resolution because fingerprint login works perfectly. expecting faster resolution from technical team.",Mobile App Issues,Positive
"Since yesterday, I feel disappointed because router overheating issue continues. the service experience feels smooth now.",Broadband Service,Negative
"During office hours, I appreciate the quick resolution because roaming service activated instantly. this problem needs immediate attention.",Mobile Network,Positive
"Honestly, I am highly impressed because payment gateway failed during recharge. the issue affects my daily work badly.",Billing & Payments,Positive
"During office hours, I am somewhat satisfied because payment gateway failed during recharge. hoping this gets fixed permanently.",Billing & Payments,Positive
"Recently, I appreciate the quick resolution because roaming activation took too much time. customer support should improve further.",Service Activation,Positive
"Unfortunately, I am highly impressed because priority support handled issue efficiently. the service experience feels smooth now.",Customer Support,Positive
"Seriously, I am unhappy with the service because chat support disconnected suddenly. the service experience feels smooth now.",Customer Support,Positive
"Every evening, I am satisfied overall because fiber internet disconnects every evening. customer support should improve further.",Broadband Service,Positive
"This week, I feel totally upset because email support response was delayed. overall service quality looks better now.",Customer Support,Negative
"Honestly, I feel disappointed because broadband installation still pending. the service experience feels smooth now.",Service Activation,Negative
"Honestly, I am highly impressed because roaming activation took too much time. this issue still continues every day.",Service Activation,Positive
"Today, I expected better performance because mobile data not working properly. the issue affects my daily work badly.",Mobile Network,Neutral
"During office hours, I am extremely happy because dark mode feature looks excellent. hoping this gets fixed permanently.",Mobile App Issues,Positive
"Recently, I expected better performance because router overheating issue continues. this problem needs immediate attention.",Broadband Service,Neutral
"Recently, I am somewhat satisfied because router restarts automatically. expecting faster resolution from technical team.",Broadband Service,Positive
"Since yesterday, I am unhappy with the service because roaming activation took too much time. this issue still continues every day.",Service Activation,Positive
"Today, I am satisfied overall because application loads much faster now. the issue affects my daily work badly.",Mobile App Issues,Positive
"Unfortunately, I am unhappy with the service because usage statistics are inaccurate. thank you for solving the issue.",Mobile App Issues,Positive
"Recently, I am unhappy with the service because wifi signal does not reach upstairs. thank you for solving the issue.",Broadband Service,Positive
"This week, I expected better performance because SIM replacement completed successfully. the issue affects my daily work badly.",Service Activation,Neutral
"Unfortunately, I feel disappointed because payment reflected successfully after few minutes. customer support should improve further.",Billing & Payments,Negative
"Every evening, I am very frustrated because wifi coverage improved after technician visit. please resolve this quickly.",Broadband Service,Negative
"Seriously, I expected better performance because identity verification process is slow. this problem needs immediate attention.",Service Activation,Neutral
"Recently, I feel totally upset because priority support handled issue efficiently. overall service quality looks better now.",Customer Support,Negative
"During office hours, I am highly impressed because payment transaction failed inside app. overall service quality looks better now.",Mobile App Issues,Positive
"Today, I am somewhat satisfied because issue remained unresolved after many complaints. expecting faster resolution from technical team.",Customer Support,Positive
"Today, I am somewhat satisfied because voice calls are dropping continuously. this problem needs immediate attention.",Mobile Network,Positive
"Today, I expected better performance because extra roaming charges added unexpectedly. the service experience feels smooth now.",Billing & Payments,Neutral
"This week, I am unhappy with the service because wifi signal does not reach upstairs. thank you for solving the issue.",Broadband Service,Positive
"Recently, I am extremely happy because streaming quality became much better. thank you for solving the issue.",Broadband Service,Positive
"Recently, I am highly impressed because online meetings keep buffering. this issue still continues every day.",Broadband Service,Positive
"After recent update, I am highly impressed because invoice details are confusing. the issue affects my daily work badly.",Billing & Payments,Positive
The Mobile Network is very slow.,Mobile Network,Negative
"Since yesterday, I am extremely happy because chat support disconnected suddenly. this problem needs immediate attention.",Customer Support,Positive
"This week, I am somewhat satisfied because activation request still under processing. the issue affects my daily work badly.",Service Activation,Positive
"This week, I appreciate the quick resolution because unable to login into the app. the issue affects my daily work badly.",Mobile App Issues,Positive
